,target,date,USE00020,price_open,price_high,price_low,price_close,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00145_low,USE00145_high,USE00145_mean,PE100058,MA000001,d111,d112,d211,d221,d222,d511,d512,D521,D522,d611,d612,d711,MA5,MA6,MA10,MA15,QA,day,S0049493_2,S0049493_3,S0049493_4,S0029752_2,S0029752_3,S0029752_4
189,0.0,2015-11-20,6.84,34600.0,35170.0,34410.0,34910.0,-10.0,30.0,80.0,85.0,25.5,11.0,34690.0,34820.0,4690.0,252325.0,201800.0,289918.0,199288.0,53476.0,34770.0,-50.0,50.0,793228.0,-70.0,10.0,-30.0,1036673.0,933025.0,130.0,10.0,0.399881105717,0.134167636787,199288.0,7247950.0,14.362330328,1983070.0,9.95077475814,40.0,100.0,103648.0,35112.0,35298.3333333,36139.0,36892.6666667,3,20,111537.0,172798.0,234185.0,507375.0,762650.0,1021150.0
190,0.0,2015-11-23,6.84,35100.0,35110.0,33270.0,33510.0,-30.0,30.0,80.0,85.0,22.5,11.5,33900.0,33990.0,4515.5,251125.0,204175.0,291255.0,199288.0,51479.0,34040.0,-50.0,50.0,871010.0,-50.0,30.0,-10.0,1036673.0,933025.0,90.0,0.0,0.406520657043,0.129157299988,199288.0,7281375.0,14.4975111996,2177525.0,10.9265234234,60.0,100.0,103648.0,34608.0,34845.0,35728.0,36560.0,3,23,104955.0,163016.0,224277.0,503450.0,758500.0,1013775.0
191,-1.0,2015-11-24,6.84,33590.0,34080.0,33220.0,33850.0,0.0,40.0,80.0,85.0,16.5,6.5,33500.0,33630.0,4527.0,250675.0,204675.0,290239.0,199288.0,50002.0,33570.0,-40.0,40.0,853620.0,-60.0,20.0,-20.0,1036673.0,933025.0,130.0,20.0,0.408247731126,0.125451607723,199288.0,7255975.0,14.4728732422,2134050.0,10.7083718036,40.0,80.0,103648.0,34384.0,34481.6666667,35356.0,36255.3333333,3,24,101481.0,154957.0,213018.0,501800.0,754125.0,1009175.0
192,-1.0,2015-11-25,6.84,33770.0,34980.0,33700.0,34620.0,20.0,50.0,80.0,85.0,12.5,4.25,34410.0,34510.0,4541.0,247925.0,205675.0,287226.0,199288.0,49479.0,34470.0,-20.0,50.0,811738.0,-50.0,20.0,-15.0,1036673.0,933025.0,100.0,35.0,0.414792780075,0.124139436394,199288.0,7180650.0,14.4814964203,2029345.0,10.182976396,30.0,70.0,103648.0,34332.0,34423.3333333,35108.0,35974.6666667,3,25,99481.0,150960.0,204436.0,498600.0,749725.0,1002050.0
193,-1.0,2015-11-26,6.84,34200.0,36090.0,34150.0,35140.0,10.0,30.0,80.0,85.0,15.5,9.5,35030.0,35120.0,4667.0,244800.0,207125.0,294307.0,199288.0,48653.0,35020.0,-50.0,50.0,751602.0,-50.0,10.0,-20.0,1036673.0,933025.0,90.0,20.0,0.423049428105,0.122067058729,199288.0,7357675.0,15.0279309641,1879005.0,9.42859078319,20.0,100.0,103648.0,34406.0,34466.6666667,34891.0,35769.3333333,3,26,98132.0,148134.0,199613.0,492725.0,743400.0,994525.0
194,0.0,2015-11-27,6.84,35150.0,35640.0,34810.0,35350.0,20.0,40.0,80.0,85.0,18.0,7.5,35160.0,35240.0,4636.0,243350.0,208425.0,294334.0,187152.0,46955.0,35200.0,-30.0,40.0,741512.0,-50.0,10.0,-20.0,1036673.0,933025.0,80.0,30.0,0.428241216355,0.125446161409,187152.0,7358350.0,15.1188617218,1853780.0,9.9052107378,20.0,70.0,103648.0,34494.0,34563.3333333,34803.0,35590.6666667,3,27,95608.0,145087.0,195089.0,488150.0,736075.0,986750.0
195,-1.0,2015-11-30,6.84,35100.0,35340.0,34310.0,34740.0,10.0,30.0,80.0,85.0,13.25,7.25,34750.0,34830.0,4595.5,244375.0,210450.0,294306.0,187152.0,45497.0,34800.0,-40.0,40.0,779230.0,-40.0,10.0,-15.0,1098727.0,922151.0,80.0,20.0,0.430588235294,0.121550931863,187152.0,7357650.0,15.0540153453,1948075.0,10.4090525348,20.0,80.0,176576.0,34740.0,34535.0,34674.0,35398.6666667,3,30,92452.0,141105.0,190584.0,487725.0,732525.0,980450.0
196,-1.0,2015-12-01,6.84,34900.0,35290.0,34500.0,35080.0,40.0,60.0,80.0,85.0,11.25,0.5,34850.0,35140.0,4619.0,243025.0,210150.0,295751.0,187152.0,40718.0,34930.0,20.0,60.0,773832.0,-10.0,50.0,20.0,1098727.0,922151.0,290.0,50.0,0.432362925625,0.108783235018,187152.0,7393775.0,15.2119637897,1934580.0,10.3369453706,20.0,40.0,176576.0,34986.0,34796.6666667,34685.0,35232.6666667,1,1,86215.0,133170.0,181823.0,487400.0,730750.0,975550.0
197,0.0,2015-12-02,6.84,35120.0,35470.0,34880.0,34890.0,110.0,130.0,80.0,85.0,4.5,0.0,35050.0,35310.0,4589.0,239200.0,210125.0,293101.0,187152.0,34977.0,35120.0,70.0,140.0,784560.0,50.0,120.0,85.0,1098727.0,922151.0,260.0,120.0,0.439224498328,0.0934454347269,187152.0,7327525.0,15.3167328595,1961400.0,10.4802513465,20.0,70.0,176576.0,35040.0,34970.0,34686.0,35085.3333333,1,2,75695.0,121192.0,168147.0,482225.0,726600.0,969950.0
198,0.0,2015-12-03,6.84,34770.0,35270.0,34360.0,34390.0,120.0,140.0,80.0,85.0,5.0,2.0,34710.0,34910.0,4525.0,239250.0,211400.0,291841.0,187152.0,33047.0,34800.0,70.0,140.0,818320.0,50.0,120.0,85.0,1098727.0,922151.0,200.0,130.0,0.441797283177,0.088289198085,187152.0,7296025.0,15.2477011494,2045800.0,10.9312216808,20.0,70.0,176576.0,34890.0,34931.6666667,34648.0,34890.6666667,1,3,68024.0,108742.0,154239.0,478450.0,721475.0,965850.0
