,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
106,2016-08-24,6.69,972735.0,837883.0,36970.0,37040.0,36640.0,36650.0,1.16589,30.0,50.0,45.0,60.0,-17.0,-44.75,36940.0,36770.0,4658.5,254700.0,202050.0,329939.0,165803.0,54872.0,36830.0,-50.0,20.0,539910.0,7.9068,7.9176,-50.0,10.0,-20.0,1.0
107,2016-08-25,6.7,972735.0,837883.0,36530.0,36640.0,36050.0,36370.0,1.08293,70.0,90.0,45.0,60.0,-9.0,-43.0,36430.0,36310.0,4639.5,263875.0,213450.0,329233.0,165803.0,52626.0,36330.0,0.0,70.0,526572.0,7.8483,7.8678,0.0,50.0,25.0,0.0
108,2016-08-26,6.7,972735.0,837883.0,36290.0,36530.0,36180.0,36430.0,1.04798,60.0,80.0,45.0,60.0,-11.5,-44.0,36450.0,36340.0,4622.0,271575.0,223275.0,330653.0,165803.0,51239.0,36350.0,0.0,60.0,531076.0,7.887,7.8913,0.0,50.0,25.0,0.0
111,2016-08-30,6.72,972735.0,837883.0,36350.0,36520.0,36240.0,36260.0,0.994403,60.0,80.0,45.0,60.0,-12.0,-42.25,36460.0,36390.0,4609.0,283225.0,239250.0,332636.0,152404.0,48980.0,36390.0,0.0,70.0,523302.0,7.8676,7.8698,10.0,50.0,30.0,1.0
112,2016-08-31,6.72,975266.0,1015471.0,36250.0,36390.0,36140.0,36270.0,0.855266,80.0,100.0,45.0,60.0,-11.25,-38.25,36340.0,36270.0,4602.5,293525.0,253975.0,322559.0,152404.0,47592.0,36280.0,10.0,80.0,515630.0,7.864,7.8597,30.0,70.0,50.0,0.0
113,2016-09-01,6.72,975266.0,1015471.0,36260.0,36670.0,36230.0,36530.0,0.815063,110.0,130.0,45.0,60.0,-10.0,-40.75,36510.0,36420.0,4620.0,304775.0,265800.0,324515.0,152404.0,47140.0,36450.0,20.0,80.0,513422.0,7.8885,7.9014,50.0,90.0,70.0,0.0
114,2016-09-02,6.72,975266.0,1015471.0,36490.0,36690.0,36400.0,36670.0,0.845126,120.0,140.0,45.0,60.0,-10.5,-36.75,36560.0,36500.0,4607.0,318500.0,278350.0,327804.0,152404.0,44394.0,36530.0,40.0,130.0,513988.0,7.9109,7.9261,70.0,120.0,95.0,0.0
116,2016-09-05,6.72,975266.0,1015471.0,36640.0,36660.0,36440.0,36510.0,0.773325,120.0,140.0,45.0,60.0,-14.75,-37.25,36580.0,36540.0,4603.0,328525.0,283350.0,324428.0,143716.0,42697.0,36550.0,40.0,110.0,517694.0,7.8885,7.8906,60.0,100.0,80.0,1.0
117,2016-09-06,6.72,975266.0,1015471.0,36460.0,36620.0,36390.0,36570.0,0.806476,110.0,150.0,50.0,60.0,-17.0,-39.0,36550.0,36500.0,4623.0,334975.0,290600.0,323455.0,143716.0,39992.0,36520.0,40.0,120.0,516114.0,7.9052,7.9139,50.0,90.0,70.0,0.0
118,2016-09-07,6.73,975266.0,1015471.0,36600.0,36870.0,36460.0,36750.0,0.79923,100.0,120.0,50.0,60.0,-18.25,-38.5,36700.0,36670.0,4643.0,339600.0,295825.0,323261.0,143716.0,37635.0,36660.0,40.0,100.0,510102.0,7.8993,7.91,50.0,80.0,65.0,1.0
119,2016-09-08,6.72,975266.0,1015471.0,36750.0,36850.0,36530.0,36570.0,0.818245,110.0,130.0,50.0,60.0,-17.5,-36.25,36700.0,36620.0,4617.5,338225.0,291025.0,324192.0,143716.0,36786.0,36660.0,50.0,100.0,505006.0,7.8358,7.8401,50.0,90.0,70.0,1.0
120,2016-09-09,6.71,975266.0,1015471.0,36560.0,36730.0,36460.0,36620.0,0.886463,120.0,140.0,50.0,60.0,-18.5,-38.0,36650.0,36610.0,4622.5,350600.0,302625.0,322544.0,143716.0,35315.0,36620.0,50.0,110.0,495782.0,7.9037,7.9059,70.0,110.0,90.0,1.0
122,2016-09-12,6.72,975266.0,1015471.0,36560.0,36630.0,36130.0,36170.0,0.731429,120.0,140.0,50.0,60.0,-19.25,-36.5,36350.0,36340.0,4573.0,354200.0,299325.0,322469.0,136329.0,36689.0,36360.0,40.0,120.0,523876.0,7.7891,7.7827,60.0,100.0,80.0,0.0
123,2016-09-13,6.72,975266.0,1015471.0,36250.0,36620.0,36250.0,36600.0,0.606295,130.0,150.0,50.0,60.0,-16.75,-30.0,36490.0,36520.0,4641.5,353375.0,297000.0,321680.0,136329.0,33968.0,36480.0,100.0,160.0,486196.0,7.8697,7.8718,90.0,140.0,115.0,0.0
124,2016-09-14,6.72,975266.0,1015471.0,36630.0,36800.0,36470.0,36730.0,0.40751,150.0,170.0,50.0,60.0,-17.0,-32.25,36660.0,36660.0,4694.5,351500.0,298625.0,322934.0,136329.0,30895.0,36640.0,80.0,150.0,466872.0,7.7086,7.7002,80.0,130.0,105.0,0.0
127,2016-09-19,6.71,975266.0,1015471.0,37100.0,37240.0,36930.0,37230.0,0.3418,100.0,120.0,50.0,60.0,-22.75,-36.0,37100.0,37070.0,4731.5,349625.0,291650.0,322835.0,130780.0,35039.0,37110.0,50.0,140.0,450134.0,7.7842,7.8009,80.0,120.0,100.0,0.0
128,2016-09-20,6.71,975266.0,1015471.0,37260.0,37350.0,37160.0,37280.0,1.29973,100.0,120.0,50.0,60.0,-23.75,-41.5,37270.0,37200.0,4732.5,347950.0,293450.0,318918.0,130780.0,34614.0,37240.0,40.0,130.0,439356.0,7.7762,7.7887,80.0,120.0,100.0,0.0
129,2016-09-21,6.71,975266.0,1015471.0,37300.0,37500.0,37190.0,37300.0,1.38161,130.0,150.0,55.0,65.0,-23.25,-43.0,37340.0,37280.0,4733.0,347800.0,296575.0,316349.0,130780.0,34165.0,37330.0,50.0,130.0,440268.0,7.8321,7.8363,80.0,120.0,100.0,0.0
130,2016-09-22,6.71,975266.0,1015471.0,37310.0,37680.0,37240.0,37650.0,1.4367,150.0,170.0,55.0,65.0,-18.0,-38.75,37550.0,37500.0,4815.5,346050.0,292825.0,319795.0,130780.0,32193.0,37490.0,60.0,140.0,458610.0,7.7558,7.7743,90.0,120.0,105.0,0.0
131,2016-09-23,6.71,975266.0,1015471.0,37770.0,37900.0,37650.0,37860.0,1.54437,150.0,170.0,55.0,65.0,-22.0,-43.0,37830.0,37710.0,4815.0,356875.0,297075.0,319768.0,130780.0,29866.0,37770.0,80.0,140.0,461368.0,7.7971,7.8136,90.0,120.0,105.0,1.0
133,2016-09-26,6.71,975266.0,1015471.0,37820.0,37900.0,37690.0,37760.0,1.50605,140.0,160.0,55.0,65.0,-21.75,-44.0,37830.0,37720.0,4794.0,364125.0,307075.0,321819.0,107058.0,26867.0,37770.0,80.0,150.0,456438.0,7.7918,7.8042,90.0,120.0,105.0,1.0
134,2016-09-27,6.71,975266.0,1015471.0,37750.0,37830.0,37470.0,37680.0,1.35334,160.0,180.0,55.0,65.0,-18.25,-41.5,37680.0,37580.0,4775.0,371475.0,308850.0,321667.0,107058.0,24742.0,37640.0,90.0,160.0,462712.0,7.8601,7.8706,100.0,140.0,120.0,1.0
135,2016-09-28,6.71,975266.0,1015471.0,37550.0,37610.0,37270.0,37520.0,1.31209,200.0,220.0,55.0,65.0,-17.0,-40.5,37480.0,37440.0,4807.5,369075.0,293700.0,319307.0,107058.0,23193.0,37450.0,120.0,190.0,449096.0,7.7829,7.7891,130.0,180.0,155.0,0.0
136,2016-09-29,6.71,975266.0,1015471.0,37600.0,37960.0,37530.0,37650.0,1.30926,210.0,230.0,55.0,65.0,-15.75,-43.0,37790.0,37800.0,4816.5,379175.0,301275.0,321517.0,107058.0,21993.0,37780.0,120.0,200.0,444148.0,7.7832,7.7749,140.0,190.0,165.0,1.0
137,2016-09-30,6.71,967692.0,1097852.0,37680.0,37880.0,37560.0,37710.0,1.33553,200.0,220.0,55.0,65.0,-17.0,-40.0,37700.0,37670.0,4832.0,372225.0,292100.0,321700.0,107058.0,24171.0,37690.0,110.0,180.0,439784.0,7.764,7.7537,90.0,160.0,125.0,1.0
141,2016-10-10,6.71,967692.0,1097852.0,37660.0,37670.0,37430.0,37650.0,1.27723,210.0,230.0,55.0,65.0,-19.25,-47.0,37550.0,37540.0,4786.0,350675.0,278625.0,315142.0,121439.0,23345.0,37550.0,120.0,200.0,433864.0,7.7706,7.7685,130.0,180.0,155.0,0.0
142,2016-10-11,6.75,967692.0,1097852.0,37670.0,38180.0,37660.0,38160.0,1.25714,190.0,210.0,55.0,65.0,-20.5,-48.25,38010.0,37980.0,4801.5,349350.0,268725.0,315381.0,121439.0,22636.0,38000.0,80.0,180.0,468044.0,7.9248,7.9269,120.0,180.0,150.0,1.0
143,2016-10-12,6.76,967692.0,1097852.0,38060.0,38080.0,37760.0,37950.0,1.40412,170.0,210.0,60.0,70.0,-22.75,-47.75,37940.0,37920.0,4805.0,347850.0,262250.0,314865.0,121439.0,23761.0,37920.0,70.0,180.0,464966.0,7.8803,7.8865,90.0,170.0,130.0,1.0
144,2016-10-13,6.77,967692.0,1097852.0,37990.0,38150.0,37580.0,37630.0,1.35975,150.0,170.0,60.0,70.0,-20.5,-46.0,37860.0,37850.0,4754.5,346150.0,257500.0,320288.0,121439.0,23462.0,37860.0,50.0,160.0,466170.0,8.0047,7.9877,60.0,150.0,105.0,1.0
145,2016-10-14,6.77,967692.0,1097852.0,37210.0,37460.0,37110.0,37370.0,1.09485,130.0,150.0,60.0,70.0,-19.75,-45.75,37310.0,37480.0,4672.5,349075.0,251825.0,319536.0,121439.0,26511.0,37300.0,40.0,120.0,449142.0,8.0175,7.9919,60.0,120.0,90.0,1.0
147,2016-10-17,6.77,967692.0,1097852.0,37210.0,37400.0,37160.0,37320.0,1.18901,110.0,130.0,60.0,70.0,-21.5,-45.0,37280.0,37330.0,4671.5,345800.0,247475.0,314753.0,117634.0,28939.0,37260.0,40.0,120.0,455972.0,7.9778,7.982,60.0,100.0,80.0,0.0
148,2016-10-18,6.78,967692.0,1097852.0,37250.0,37410.0,37200.0,37400.0,1.11255,130.0,150.0,60.0,70.0,-21.25,-45.5,37350.0,37300.0,4665.5,348000.0,247600.0,305391.0,117634.0,29814.0,37290.0,50.0,140.0,442708.0,7.9919,7.9919,80.0,140.0,110.0,1.0
149,2016-10-19,6.79,967692.0,1097852.0,37310.0,37410.0,37150.0,37190.0,1.14694,150.0,170.0,60.0,70.0,-21.0,-43.25,37310.0,37260.0,4642.5,350625.0,248625.0,307669.0,117634.0,29814.0,37270.0,60.0,170.0,442046.0,7.9602,7.9623,100.0,160.0,130.0,1.0
150,2016-10-20,6.79,967692.0,1097852.0,37200.0,37440.0,36970.0,37310.0,1.1473,180.0,200.0,65.0,75.0,-19.5,-43.5,37330.0,37270.0,4633.5,348575.0,243850.0,306607.0,117634.0,29537.0,37240.0,100.0,160.0,442270.0,8.015,8.0236,130.0,170.0,150.0,1.0
151,2016-10-21,6.79,967692.0,1097852.0,37240.0,37270.0,37000.0,37180.0,1.2639,230.0,250.0,65.0,75.0,-20.75,-45.75,37180.0,37150.0,4637.0,346775.0,241925.0,306845.0,117634.0,25177.0,37130.0,150.0,220.0,443978.0,8.0224,8.0181,170.0,230.0,200.0,0.0
153,2016-10-24,6.81,967692.0,1097852.0,37110.0,37430.0,37100.0,37350.0,1.35149,260.0,280.0,70.0,80.0,-19.25,-38.75,37320.0,37320.0,4620.5,339950.0,237525.0,307645.0,102548.0,22702.0,37270.0,200.0,280.0,451524.0,8.0457,8.0435,230.0,280.0,255.0,0.0
154,2016-10-25,6.82,967692.0,1097852.0,37300.0,38170.0,37250.0,38010.0,1.46966,360.0,380.0,70.0,80.0,-12.75,-33.75,37760.0,37860.0,4720.0,338800.0,234825.0,309477.0,102548.0,21575.0,37780.0,250.0,360.0,475622.0,8.0321,8.0215,270.0,350.0,310.0,0.0
155,2016-10-26,6.83,967692.0,1097852.0,38110.0,38250.0,37700.0,37760.0,1.55303,240.0,260.0,80.0,90.0,-7.25,-29.75,37830.0,37920.0,4717.5,336225.0,223525.0,306440.0,102548.0,20772.0,37930.0,180.0,250.0,455338.0,7.9663,7.9642,170.0,240.0,205.0,1.0
156,2016-10-27,6.82,967692.0,1097852.0,37790.0,37960.0,37720.0,37820.0,1.64725,210.0,230.0,85.0,95.0,-8.5,-37.25,37780.0,37830.0,4774.0,331450.0,211025.0,309726.0,102548.0,19994.0,37820.0,100.0,200.0,452920.0,7.9002,7.894,130.0,190.0,160.0,0.0
157,2016-10-28,6.83,967692.0,1097852.0,38020.0,38340.0,37950.0,38270.0,1.70915,160.0,180.0,85.0,95.0,-11.5,-38.0,38130.0,38190.0,4787.0,326400.0,192975.0,313844.0,102548.0,19392.0,38130.0,90.0,150.0,460326.0,7.9029,7.9029,80.0,140.0,110.0,0.0
159,2016-10-31,6.83,926512.0,902188.0,38390.0,38630.0,38280.0,38390.0,1.781,130.0,150.0,85.0,95.0,-12.0,-38.75,38430.0,38420.0,4827.5,320825.0,186825.0,313442.0,97839.0,18150.0,38420.0,60.0,120.0,461182.0,7.8822,7.8822,60.0,130.0,95.0,0.0
160,2016-11-01,6.82,926512.0,902188.0,38500.0,38890.0,38390.0,38740.0,1.9036,160.0,180.0,90.0,100.0,-12.25,-41.5,38650.0,38680.0,4862.5,319475.0,184900.0,318912.0,97839.0,22871.0,38660.0,50.0,150.0,482346.0,7.9122,7.9061,90.0,160.0,125.0,0.0
161,2016-11-02,6.82,926512.0,902188.0,38780.0,39180.0,38540.0,38580.0,2.24026,170.0,190.0,90.0,100.0,-13.75,-40.75,38800.0,38740.0,4871.0,319000.0,173025.0,322314.0,97839.0,22871.0,38820.0,80.0,170.0,478118.0,7.8756,7.8695,120.0,170.0,145.0,1.0
162,2016-11-03,6.81,926512.0,902188.0,38730.0,39020.0,38620.0,38990.0,2.75887,180.0,200.0,90.0,100.0,-13.0,-32.5,38820.0,38810.0,4918.0,310600.0,166625.0,328160.0,97839.0,22620.0,38800.0,80.0,180.0,496132.0,7.8616,7.8656,130.0,170.0,150.0,0.0
163,2016-11-04,6.81,926512.0,902188.0,39100.0,39390.0,39000.0,39130.0,4.62871,180.0,200.0,90.0,100.0,-13.5,-31.25,39200.0,39130.0,4943.0,305000.0,162500.0,331091.0,97839.0,22620.0,39190.0,70.0,170.0,504194.0,7.8349,7.8409,120.0,170.0,145.0,0.0
165,2016-11-07,6.81,926512.0,902188.0,39230.0,40770.0,39150.0,40380.0,4.37364,160.0,180.0,90.0,100.0,-18.25,-34.0,39920.0,39880.0,5032.0,298400.0,165075.0,335512.0,112551.0,21818.0,39880.0,50.0,180.0,548218.0,7.9625,7.9724,100.0,150.0,125.0,0.0
166,2016-11-08,6.82,926512.0,902188.0,40180.0,40730.0,40070.0,40450.0,3.72283,80.0,100.0,90.0,100.0,-16.75,-31.5,40410.0,40360.0,5044.0,291625.0,163075.0,342234.0,112551.0,21818.0,40370.0,-50.0,80.0,556482.0,7.749,7.7394,30.0,80.0,55.0,0.0
167,2016-11-09,6.83,926512.0,902188.0,40400.0,42030.0,40340.0,41600.0,3.23505,50.0,70.0,90.0,100.0,-14.0,-23.5,41410.0,41470.0,5335.0,282600.0,169825.0,353361.0,112551.0,21619.0,41430.0,-40.0,80.0,560162.0,7.7161,7.7087,0.0,50.0,25.0,0.0
168,2016-11-10,6.82,926512.0,902188.0,42320.0,43910.0,42230.0,43910.0,3.00408,1030.0,1050.0,90.0,100.0,-13.5,-17.25,42960.0,43460.0,5619.0,274950.0,169825.0,364452.0,112551.0,21319.0,42970.0,1050.0,1200.0,552708.0,7.8342,7.8271,650.0,1100.0,875.0,0.0
169,2016-11-11,6.84,926512.0,902188.0,45000.0,46830.0,44430.0,46700.0,1.92799,40.0,60.0,90.0,100.0,-8.25,-5.25,45280.0,45390.0,5900.0,270850.0,171200.0,366968.0,112551.0,21319.0,45330.0,-50.0,80.0,552572.0,8.3966,8.343,-40.0,50.0,5.0,0.0
171,2016-11-14,6.84,926512.0,902188.0,47200.0,48040.0,43700.0,45520.0,0.868207,150.0,170.0,90.0,100.0,-6.5,-7.0,45780.0,45770.0,5620.0,266150.0,174050.0,366843.0,134538.0,23023.0,45630.0,-80.0,150.0,537450.0,8.2013,8.1834,-180.0,-50.0,-115.0,1.0
172,2016-11-15,6.88,926512.0,902188.0,45500.0,46160.0,43060.0,43670.0,0.682065,70.0,90.0,90.0,100.0,5.0,-10.0,44870.0,45360.0,5448.0,262050.0,174425.0,354390.0,134538.0,27575.0,44940.0,-20.0,80.0,530572.0,7.9057,7.977,-60.0,60.0,0.0,1.0
173,2016-11-16,6.91,926512.0,902188.0,43670.0,44650.0,43560.0,44580.0,0.713106,20.0,40.0,90.0,100.0,-8.5,-14.5,44110.0,44190.0,5459.0,255600.0,173825.0,354840.0,134538.0,29472.0,44170.0,-50.0,20.0,531838.0,8.2342,8.2324,-50.0,10.0,-20.0,1.0
174,2016-11-17,6.91,926512.0,902188.0,44270.0,44410.0,43400.0,43670.0,0.707723,0.0,20.0,90.0,100.0,-10.25,-19.25,43890.0,43810.0,5426.0,257875.0,186350.0,357495.0,134538.0,29447.0,43890.0,-100.0,-10.0,513626.0,7.9552,7.9625,-100.0,-30.0,-65.0,0.0
175,2016-11-18,6.92,926512.0,902188.0,43830.0,44580.0,43720.0,44210.0,0.726514,-70.0,-50.0,90.0,100.0,-11.0,-18.5,44120.0,44040.0,5446.0,253700.0,180425.0,358139.0,134538.0,29398.0,44180.0,-150.0,-80.0,517266.0,8.1593,8.1796,-140.0,-80.0,-110.0,0.0
177,2016-11-21,6.94,926512.0,902188.0,44430.0,45410.0,43610.0,45120.0,0.703256,-70.0,-50.0,90.0,100.0,-15.5,-21.0,44630.0,44590.0,5535.5,247075.0,174975.0,358369.0,144063.0,29398.0,44500.0,-160.0,-80.0,544634.0,8.106,8.1203,-140.0,-90.0,-115.0,0.0
178,2016-11-22,6.95,926512.0,902188.0,45190.0,46320.0,44710.0,46210.0,0.689924,-90.0,-70.0,90.0,100.0,-16.0,-18.5,45830.0,45690.0,5618.0,242275.0,170450.0,356600.0,144063.0,29148.0,45610.0,-180.0,-90.0,555764.0,8.2217,8.252,-150.0,-100.0,-125.0,0.0
179,2016-11-23,6.94,926512.0,902188.0,45900.0,46120.0,45400.0,45760.0,0.685172,-60.0,-40.0,85.0,95.0,-15.5,-8.0,45890.0,45720.0,5564.0,239400.0,165750.0,355988.0,144063.0,28948.0,45760.0,-160.0,-60.0,555178.0,7.9885,8.0059,-100.0,-60.0,-80.0,0.0
180,2016-11-24,6.94,926512.0,902188.0,45560.0,48500.0,45460.0,48210.0,0.689348,-80.0,-60.0,85.0,95.0,-14.5,4.0,47560.0,47560.0,5834.5,235875.0,160525.0,366041.0,144063.0,35350.0,47310.0,-150.0,-80.0,555764.0,8.1701,8.2023,-160.0,-90.0,-125.0,0.0
181,2016-11-25,6.97,926512.0,902188.0,47930.0,48900.0,47400.0,48100.0,0.695057,-100.0,-80.0,85.0,95.0,-14.5,0.0,48330.0,48030.0,5822.5,237200.0,159550.0,365554.0,144063.0,35698.0,48260.0,-190.0,-80.0,550096.0,8.1895,8.2099,-140.0,-110.0,-125.0,0.0
183,2016-11-28,6.96,926512.0,902188.0,48120.0,49840.0,47850.0,49580.0,0.707765,-100.0,-80.0,85.0,95.0,-15.25,7.0,48880.0,48670.0,5935.5,234250.0,154375.0,361544.0,135363.0,35673.0,48820.0,-180.0,-100.0,596476.0,8.2828,8.3552,-160.0,-110.0,-135.0,1.0
184,2016-11-29,6.96,926512.0,902188.0,49300.0,49400.0,46590.0,46750.0,0.702546,-100.0,-80.0,80.0,90.0,-15.0,-1.25,48040.0,47520.0,5778.0,235475.0,152650.0,361192.0,135363.0,36172.0,47950.0,-170.0,-80.0,547904.0,8.1389,8.1581,-140.0,-90.0,-115.0,1.0
185,2016-11-30,6.95,997230.0,977666.0,47030.0,47240.0,45110.0,46100.0,0.669164,-70.0,-50.0,80.0,90.0,-11.75,6.5,46340.0,46060.0,5740.0,234825.0,144225.0,366150.0,135363.0,36372.0,46220.0,-170.0,-70.0,536542.0,7.9052,7.9744,-110.0,-50.0,-80.0,0.0
186,2016-12-01,6.94,997230.0,977666.0,46390.0,47570.0,46140.0,47060.0,0.659968,10.0,30.0,80.0,90.0,-3.0,13.0,47060.0,46850.0,5773.0,236675.0,142525.0,365735.0,135363.0,37456.0,46990.0,-100.0,0.0,537352.0,8.0862,8.1103,-60.0,0.0,-30.0,1.0
187,2016-12-02,6.95,997230.0,977666.0,46930.0,47180.0,46150.0,46630.0,0.652586,-10.0,10.0,80.0,90.0,-2.0,16.5,46670.0,46290.0,5736.0,234025.0,137675.0,366272.0,135363.0,37580.0,46650.0,-130.0,-10.0,524434.0,8.0364,8.0745,-70.0,-10.0,-40.0,0.0
189,2016-12-05,6.95,997230.0,977666.0,46420.0,47630.0,46200.0,47360.0,0.650535,0.0,20.0,80.0,90.0,-5.0,17.25,47030.0,46890.0,5851.5,233025.0,136675.0,364966.0,131950.0,37880.0,46910.0,-150.0,0.0,547682.0,7.9076,7.9563,-80.0,0.0,-40.0,0.0
190,2016-12-06,6.95,997230.0,977666.0,47420.0,48480.0,47400.0,47690.0,0.69183,10.0,30.0,80.0,90.0,-8.25,13.75,48010.0,47510.0,5856.0,229500.0,128475.0,366862.0,131950.0,38280.0,47950.0,-200.0,20.0,550710.0,8.0315,8.0858,-60.0,10.0,-25.0,1.0
191,2016-12-07,6.93,997230.0,977666.0,47460.0,48500.0,47330.0,48350.0,0.777007,40.0,60.0,80.0,90.0,-5.75,3.75,48010.0,47590.0,5903.5,225925.0,117225.0,368693.0,131950.0,39481.0,47930.0,-170.0,40.0,582720.0,8.2662,8.3247,-30.0,40.0,5.0,1.0
192,2016-12-08,6.96,997230.0,977666.0,48260.0,48470.0,46910.0,47210.0,0.910122,50.0,70.0,80.0,90.0,-0.75,6.5,47640.0,46980.0,5838.0,221125.0,109675.0,369427.0,131950.0,39481.0,47530.0,-150.0,50.0,555444.0,8.1242,8.1692,-20.0,60.0,20.0,1.0
193,2016-12-09,6.94,997230.0,977666.0,47360.0,47770.0,46480.0,47390.0,0.859792,60.0,80.0,80.0,90.0,-4.0,8.25,47210.0,46840.0,5834.0,213325.0,108850.0,373225.0,131950.0,39278.0,47100.0,-100.0,60.0,544174.0,8.0712,8.1071,-20.0,50.0,15.0,0.0
195,2016-12-12,6.93,997230.0,977666.0,47530.0,48270.0,47150.0,47230.0,1.16984,60.0,100.0,80.0,90.0,-17.0,-4.25,47810.0,47420.0,5757.0,241550.0,140175.0,374344.0,144026.0,41586.0,47700.0,-100.0,80.0,540390.0,8.1249,8.1734,20.0,80.0,50.0,1.0
196,2016-12-13,6.99,997230.0,977666.0,47060.0,47300.0,46620.0,46920.0,1.71518,90.0,110.0,80.0,90.0,-12.5,-1.75,47030.0,46580.0,5765.5,258175.0,160375.0,378509.0,144026.0,41586.0,46930.0,-60.0,110.0,526256.0,8.2069,8.2562,20.0,120.0,70.0,1.0
197,2016-12-14,6.97,997230.0,977666.0,47270.0,47300.0,46000.0,46490.0,1.71912,100.0,180.0,80.0,90.0,-6.25,5.75,46670.0,46180.0,5735.0,278125.0,182850.0,376377.0,144026.0,44493.0,46540.0,50.0,150.0,518134.0,8.0846,8.1248,20.0,150.0,85.0,0.0
198,2016-12-15,6.98,997230.0,977666.0,46780.0,47130.0,46140.0,46790.0,1.48805,-100.0,-40.0,80.0,90.0,-8.5,9.75,46780.0,46500.0,5682.5,295300.0,202800.0,373828.0,144026.0,43360.0,46680.0,-200.0,-50.0,511470.0,8.0867,8.1459,20.0,160.0,90.0,1.0
199,2016-12-16,6.98,997230.0,977666.0,46400.0,47160.0,46220.0,46460.0,1.11662,-140.0,-80.0,80.0,90.0,-5.75,5.0,46960.0,46570.0,5649.0,307075.0,204200.0,372217.0,144026.0,43548.0,46640.0,-250.0,-70.0,494546.0,8.2005,8.2483,-240.0,-80.0,-160.0,1.0
201,2016-12-19,7.03,997230.0,977666.0,46180.0,46590.0,45580.0,45630.0,1.1459,-170.0,-90.0,80.0,90.0,-9.5,-4.0,46260.0,45880.0,5561.0,345475.0,236000.0,367005.0,134377.0,43348.0,46090.0,-280.0,-100.0,493534.0,8.2498,8.2879,-270.0,-120.0,-195.0,1.0
202,2016-12-20,7.03,997230.0,977666.0,45580.0,45580.0,44480.0,44890.0,1.16638,-180.0,-100.0,75.0,85.0,-13.5,-2.25,45180.0,44860.0,5485.5,344025.0,224925.0,357480.0,134377.0,44551.0,44970.0,-350.0,-150.0,490316.0,8.1315,8.175,-280.0,-150.0,-215.0,0.0
203,2016-12-21,7.03,997230.0,977666.0,44950.0,45420.0,44800.0,45330.0,1.14891,-180.0,-120.0,75.0,85.0,-14.25,-1.0,45410.0,45110.0,5498.5,339625.0,217500.0,352153.0,134377.0,46145.0,45140.0,-280.0,-100.0,494108.0,8.2126,8.2562,-250.0,-130.0,-190.0,1.0
204,2016-12-22,7.03,997230.0,977666.0,45180.0,45330.0,44370.0,44430.0,1.21881,-140.0,-80.0,75.0,85.0,-14.0,-3.5,45080.0,44690.0,5426.0,335800.0,217350.0,352829.0,134377.0,45110.0,44810.0,-250.0,-50.0,508592.0,8.0449,8.0667,-200.0,-70.0,-135.0,1.0
205,2016-12-23,7.03,997230.0,977666.0,44410.0,45200.0,44130.0,45070.0,1.18593,-120.0,-100.0,75.0,85.0,-13.25,-4.75,44990.0,44750.0,5482.0,334525.0,216800.0,350471.0,134377.0,44558.0,44800.0,-250.0,-100.0,508656.0,8.2044,8.2573,-220.0,-120.0,-170.0,0.0
209,2016-12-28,7.03,997230.0,977666.0,44640.0,46020.0,44640.0,45620.0,1.32984,-170.0,-130.0,75.0,85.0,-13.25,-2.5,45660.0,45430.0,5486.0,331100.0,211675.0,346425.0,146598.0,45401.0,45530.0,-350.0,-180.0,498512.0,8.2483,8.281,-300.0,-180.0,-240.0,0.0
210,2016-12-29,7.04,997230.0,977666.0,45450.0,45970.0,45160.0,45810.0,1.44814,-180.0,-160.0,75.0,85.0,-17.0,-6.25,45680.0,45320.0,5514.0,328350.0,212300.0,345141.0,146598.0,45901.0,45570.0,-300.0,-180.0,497916.0,8.3128,8.3511,-250.0,-170.0,-210.0,1.0
211,2016-12-30,7.04,997230.0,977666.0,45650.0,45760.0,45070.0,45500.0,1.51351,-170.0,-150.0,75.0,85.0,-12.5,-3.0,45570.0,45210.0,5501.0,322225.0,197000.0,342526.0,146598.0,46301.0,45430.0,-230.0,-100.0,480826.0,8.1515,8.2056,-250.0,-160.0,-205.0,0.0
215,2017-01-03,7.04,1115438.0,1121282.0,45630.0,46290.0,45630.0,45760.0,1.56101,-80.0,-60.0,75.0,85.0,-13.5,-3.75,46190.0,45780.0,5574.0,311825.0,197000.0,347443.0,171561.0,46601.0,46040.0,-110.0,-50.0,482612.0,8.2681,8.3245,-180.0,-80.0,-130.0,1.0
216,2017-01-04,7.04,1115438.0,1121282.0,45910.0,45980.0,44810.0,45520.0,1.55857,-80.0,-60.0,75.0,85.0,-15.0,-6.0,45460.0,45000.0,5500.5,305875.0,196900.0,346155.0,171561.0,46799.0,45360.0,-140.0,-40.0,484042.0,8.0573,8.1018,-150.0,-70.0,-110.0,0.0
217,2017-01-05,7.04,1115438.0,1121282.0,45400.0,46170.0,45360.0,45760.0,1.61473,-80.0,-40.0,75.0,85.0,-19.5,-14.0,45990.0,45560.0,5611.0,301775.0,199650.0,345913.0,171561.0,47301.0,45850.0,-110.0,-20.0,492824.0,8.094,8.1438,-130.0,-40.0,-85.0,1.0
