,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
17,2016-05-11,6.56,1035377.0,1063494.0,35880.0,36080.0,35690.0,35960.0,0.784189,60.0,80.0,55.0,65.0,9.75,5.5,35950.0,35780.0,4748.0,161625.0,119150.0,338662.0,286210.0,149494.0,35920.0,-10.0,50.0,766450.0,7.6075,7.6373,10.0,40.0,25.0,1.0
19,2016-05-13,6.54,1035377.0,1063494.0,36240.0,36380.0,35030.0,35480.0,0.781148,100.0,120.0,55.0,65.0,8.5,2.75,35590.0,35310.0,4660.0,156675.0,120150.0,340428.0,286210.0,138643.0,35560.0,60.0,120.0,783302.0,7.625,7.6639,50.0,80.0,65.0,1.0
21,2016-05-16,6.56,1035377.0,1063494.0,35390.0,35770.0,35120.0,35610.0,0.909926,-30.0,-10.0,55.0,65.0,4.5,-1.25,35500.0,35270.0,4640.5,159025.0,124700.0,335834.0,257334.0,135835.0,35440.0,100.0,200.0,781236.0,7.6431,7.6647,50.0,100.0,75.0,0.0
22,2016-05-17,6.57,1035377.0,1063494.0,35500.0,35960.0,35500.0,35900.0,1.03267,-50.0,-30.0,55.0,65.0,2.0,-3.0,35860.0,35710.0,4634.0,156750.0,124750.0,334955.0,257334.0,139892.0,35770.0,-90.0,-30.0,748088.0,7.6948,7.7098,-80.0,-40.0,-60.0,1.0
23,2016-05-18,6.57,1035377.0,1063494.0,35700.0,35940.0,35290.0,35380.0,1.09469,40.0,60.0,55.0,65.0,10.75,-0.75,35650.0,35540.0,4600.5,156850.0,124675.0,336292.0,257334.0,136691.0,35590.0,-20.0,50.0,763538.0,7.7335,7.7508,-30.0,30.0,0.0,1.0
24,2016-05-19,6.57,1035377.0,1063494.0,35210.0,35640.0,35110.0,35200.0,1.02728,110.0,130.0,55.0,65.0,13.75,-0.25,35360.0,35320.0,4596.0,158600.0,127025.0,336095.0,257334.0,129547.0,35360.0,40.0,100.0,759452.0,7.6665,7.673,40.0,80.0,60.0,1.0
25,2016-05-20,6.59,1035377.0,1063494.0,35160.0,35440.0,34820.0,35320.0,1.06381,100.0,120.0,55.0,65.0,10.5,0.25,35230.0,35240.0,4630.5,155725.0,123300.0,335767.0,257334.0,122893.0,35200.0,20.0,80.0,773328.0,7.7206,7.7249,30.0,80.0,55.0,1.0
27,2016-05-23,6.58,1035377.0,1063494.0,35480.0,35570.0,34880.0,35170.0,1.11272,90.0,110.0,55.0,65.0,15.5,-3.25,35150.0,35110.0,4572.0,155000.0,124100.0,331352.0,221212.0,117216.0,35150.0,40.0,90.0,779726.0,7.7745,7.7811,40.0,80.0,60.0,0.0
28,2016-05-24,6.59,1035377.0,1063494.0,35200.0,35370.0,35030.0,35190.0,1.04897,90.0,110.0,55.0,65.0,21.0,0.25,35210.0,35190.0,4637.0,157250.0,114900.0,329462.0,221212.0,111194.0,35210.0,40.0,100.0,769922.0,7.6458,7.6372,50.0,90.0,70.0,0.0
29,2016-05-25,6.59,1035377.0,1063494.0,35460.0,35700.0,35280.0,35490.0,1.11755,100.0,120.0,55.0,60.0,17.75,-0.25,35500.0,35500.0,4636.0,155250.0,110000.0,330969.0,221212.0,106192.0,35500.0,40.0,100.0,754846.0,7.6163,7.612,50.0,90.0,70.0,0.0
30,2016-05-26,6.6,1035377.0,1063494.0,35750.0,36080.0,35640.0,36060.0,1.16987,90.0,110.0,55.0,60.0,21.0,-1.5,35840.0,35830.0,4705.5,155975.0,108375.0,331967.0,221212.0,102643.0,35840.0,60.0,100.0,757078.0,7.6507,7.6572,40.0,80.0,60.0,0.0
31,2016-05-27,6.6,1035377.0,1063494.0,36090.0,36210.0,35610.0,35840.0,1.20423,100.0,120.0,55.0,60.0,25.5,0.0,35870.0,35810.0,4725.5,153750.0,103650.0,331647.0,221212.0,101142.0,35860.0,60.0,100.0,759628.0,7.6303,7.6388,50.0,80.0,65.0,1.0
34,2016-05-31,6.62,999755.0,923516.0,35780.0,35990.0,35640.0,35750.0,1.04912,80.0,100.0,55.0,60.0,25.75,0.5,35820.0,35770.0,4700.0,151725.0,103600.0,326649.0,210995.0,97017.0,35800.0,40.0,90.0,769082.0,7.6694,7.6651,30.0,60.0,45.0,1.0
35,2016-06-01,6.62,999755.0,923516.0,35810.0,35890.0,35120.0,35190.0,1.16544,110.0,130.0,55.0,60.0,15.0,-2.0,35480.0,35370.0,4601.0,154350.0,105375.0,328819.0,210995.0,96043.0,35480.0,50.0,100.0,810016.0,7.7525,7.7612,50.0,100.0,75.0,1.0
36,2016-06-02,6.63,999755.0,923516.0,35180.0,35460.0,35070.0,35280.0,1.17786,120.0,140.0,45.0,55.0,9.0,-1.75,35300.0,35320.0,4600.0,153525.0,103050.0,331367.0,210995.0,94669.0,35280.0,70.0,130.0,808342.0,7.6429,7.6321,80.0,120.0,100.0,0.0
