,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,USE00020,PE100058,price_open,price_close,MA5,MA10,MA15,d111,d112,d211,d221,d222,d511,d512,QA,PE100042
45,-250.0,-150.0,50.0,60.0,-28.5,-44.0,57720.0,57400.0,304900.0,254275.0,252711.0,205385.0,63335.0,57660.0,-300.0,-150.0,422792.0,6.85,782566.0,57890.0,57650.0,57850.0,57774.0,57496.0,320.0,-200.0,0.41698097737,0.15418604085,205385.0,6317775.0,10.3604050508,1,1.27756
46,-270.0,-210.0,50.0,60.0,-27.0,-45.5,56990.0,56750.0,311925.0,258625.0,245159.0,205385.0,62109.0,56960.0,-350.0,-200.0,413534.0,6.85,782566.0,57200.0,56870.0,57628.0,57685.0,57542.0,240.0,-240.0,0.414562795544,0.151201402245,205385.0,6128975.0,9.82443696401,1,1.27756
47,-370.0,-270.0,50.0,60.0,-23.5,-44.5,56700.0,56480.0,312400.0,259175.0,243783.0,204997.0,61084.0,56650.0,-400.0,-250.0,409632.0,6.85,782566.0,56350.0,56740.0,57454.0,57619.0,57565.3333333,220.0,-320.0,0.414812740077,0.148987546159,204997.0,6094575.0,9.75444142125,1,1.27756
48,-350.0,-250.0,50.0,60.0,-22.5,-49.5,56960.0,56750.0,317350.0,265750.0,239867.0,204997.0,60186.0,56930.0,-350.0,-200.0,417266.0,6.85,782566.0,56720.0,56850.0,57198.0,57559.0,57535.3333333,210.0,-300.0,0.418701748858,0.146797270204,204997.0,5996675.0,9.4480463211,1,1.27756
49,-450.0,-350.0,50.0,60.0,-22.0,-48.0,57500.0,57120.0,318000.0,266925.0,239212.0,204997.0,61429.0,57500.0,-450.0,-320.0,403500.0,6.85,782566.0,57320.0,57550.0,57132.0,57516.0,57535.3333333,380.0,-400.0,0.419693396226,0.149829021888,204997.0,5980300.0,9.40298742138,1,1.27756
50,-480.0,-330.0,50.0,60.0,-20.5,-44.5,57650.0,57170.0,318050.0,266000.0,237376.0,204773.0,61479.0,57650.0,-450.0,-300.0,396538.0,6.85,782566.0,57680.0,57680.0,57138.0,57494.0,57562.0,480.0,-405.0,0.418173243201,0.150115005396,204773.0,5934400.0,9.32935073102,1,1.27756
51,-250.0,-100.0,50.0,60.0,-30.0,-52.0,58370.0,57710.0,320225.0,248650.0,247113.0,206458.0,64000.0,58370.0,-250.0,-50.0,384908.0,6.85,818428.0,58610.0,58360.0,57436.0,57532.0,57602.0,660.0,-175.0,0.388242641892,0.154995204836,206458.0,6177825.0,9.64606917011,2,1.27756
52,-130.0,-70.0,50.0,60.0,-33.5,-54.0,58270.0,57640.0,319400.0,249125.0,249498.0,206458.0,64499.0,58270.0,-150.0,-50.0,391386.0,6.85,818428.0,58330.0,58220.0,57732.0,57593.0,57656.6666667,630.0,-100.0,0.389989041954,0.156203683074,206458.0,6237450.0,9.764323732,2,1.27756
53,-140.0,-70.0,50.0,60.0,-34.75,-57.0,58320.0,57710.0,327375.0,259725.0,246289.0,206458.0,65350.0,58320.0,-150.0,-50.0,394270.0,6.85,818428.0,58290.0,58300.0,58022.0,57610.0,57713.3333333,610.0,-105.0,0.39667812142,0.158264634938,206458.0,6157225.0,9.40393279878,2,1.27756
54,-130.0,-50.0,55.0,65.0,-34.0,-59.0,58260.0,57640.0,329050.0,263900.0,246874.0,206458.0,65350.0,58260.0,-150.0,-50.0,395540.0,6.85,818428.0,58350.0,58340.0,58180.0,57656.0,57737.3333333,620.0,-90.0,0.401002887099,0.158264634938,206458.0,6171850.0,9.37828597478,2,1.27756
55,-110.0,-30.0,55.0,65.0,-30.75,-59.0,58500.0,57760.0,326575.0,258175.0,248139.0,206458.0,65578.0,58500.0,-150.0,-20.0,421768.0,6.85,818428.0,58300.0,58780.0,58400.0,57769.0,57796.0,740.0,-70.0,0.395276735819,0.158816805355,206458.0,6203475.0,9.49777998928,2,1.27756
